DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,duration_spei_1,duration_spei_3,duration_spei_6,duration_spei_9,duration_spei_12,duration_spei_24,intensity_spei_1,intensity_spei_3,intensity_spei_6,intensity_spei_9,intensity_spei_12,intensity_spei_24,duration_spi_1,duration_spi_3,duration_spi_6,duration_spi_9,duration_spi_12,duration_spi_24,intensity_spi_1,intensity_spi_3,intensity_spi_6,intensity_spi_9,intensity_spi_12,intensity_spi_24
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,0.52,,,,,,-0.31,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-01,0.03,,,,,,-0.65,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-09,-0.02,,,,,,-0.72,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-16,-0.34,,,,,,-1.3,,,,,,0,,,,,,0,,,,,,1,,,,,,1.3,,,,,
1961-02-23,-0.68,,,,,,-1.35,,,,,,0,,,,,,0,,,,,,2,,,,,,2.65,,,,,
1961-03-01,-0.59,,,,,,-1.44,,,,,,0,,,,,,0,,,,,,3,,,,,,4.09,,,,,
1961-03-09,-0.52,,,,,,-1.33,,,,,,0,,,,,,0,,,,,,4,,,,,,5.42,,,,,
1961-03-16,-0.61,,,,,,-0.88,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-03-23,-0.48,-0.58,,,,,-0.66,-1.77,,,,,0,0,,,,,0,0,,,,,0,1,,,,,0,1.77,,,,
1961-04-01,-0.09,-0.66,,,,,-0.07,-1.71,,,,,0,0,,,,,0,0,,,,,0,2,,,,,0,3.48,,,,
1961-04-09,-0.18,-0.73,,,,,-0.01,-1.56,,,,,0,0,,,,,0,0,,,,,0,3,,,,,0,5.04,,,,
1961-04-16,-0.41,-1.05,,,,,-0.24,-1.9,,,,,0,0,,,,,0,0,,,,,0,4,,,,,0,6.94,,,,
1961-04-23,-0.8,-1.21,,,,,-0.5,-1.82,,,,,0,0,,,,,0,0,,,,,0,5,,,,,0,8.76,,,,
1961-05-01,-1.1,-1.17,,,,,-1.09,-1.78,,,,,0,0,,,,,0,0,,,,,0,6,,,,,0,10.54,,,,
1961-05-09,-0.81,-1.06,,,,,-1.01,-1.62,,,,,0,0,,,,,0,0,,,,,0,7,,,,,0,12.16,,,,
1961-05-16,-0.75,-1.13,,,,,-0.79,-1.43,,,,,0,0,,,,,0,0,,,,,0,8,,,,,0,13.59,,,,
1961-05-23,-0.02,-0.8,,,,,-0.13,-1.07,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-01,0.57,-0.5,,,,,-0.05,-0.83,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-09,0.81,-0.34,,,,,0.26,-0.65,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
