DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,duration_spei_1,duration_spei_3,duration_spei_6,duration_spei_9,duration_spei_12,duration_spei_24,intensity_spei_1,intensity_spei_3,intensity_spei_6,intensity_spei_9,intensity_spei_12,intensity_spei_24,duration_spi_1,duration_spi_3,duration_spi_6,duration_spi_9,duration_spi_12,duration_spi_24,intensity_spi_1,intensity_spi_3,intensity_spi_6,intensity_spi_9,intensity_spi_12,intensity_spi_24
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,-0.24,,,,,,-0.26,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-01,-0.52,,,,,,-0.49,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-09,-0.55,,,,,,-0.57,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-16,-1.06,,,,,,-1.23,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-23,-1.34,,,,,,-2.01,,,,,,1,,,,,,1.34,,,,,,1,,,,,,2.01,,,,,
1961-03-01,-1.48,,,,,,-1.99,,,,,,2,,,,,,2.82,,,,,,2,,,,,,4,,,,,
1961-03-09,-1.44,,,,,,-1.65,,,,,,3,,,,,,4.26,,,,,,3,,,,,,5.65,,,,,
1961-03-16,-0.54,,,,,,-0.11,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-03-23,-0.37,-1.14,,,,,-0.01,-1.04,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-01,0.31,-1.04,,,,,0.5,-0.98,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-09,0.53,-0.94,,,,,0.74,-0.84,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-16,-0.17,-1.14,,,,,0.01,-1.05,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-23,-0.49,-1.36,,,,,-0.21,-1.21,,,,,0,1,,,,,0,1.36,,,,,0,0,,,,,0,0,,,,
1961-05-01,-1.16,-1.44,,,,,-0.83,-1.27,,,,,0,2,,,,,0,2.8,,,,,0,0,,,,,0,0,,,,
1961-05-09,-1.61,-1.46,,,,,-1.45,-1.1,,,,,1,3,,,,,1.61,4.26,,,,,1,0,,,,,1.45,0,,,,
1961-05-16,-1.61,-1.4,,,,,-1.31,-0.92,,,,,2,4,,,,,3.22,5.66,,,,,2,0,,,,,2.76,0,,,,
1961-05-23,1.1,0.04,,,,,1.39,0.52,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-01,1.81,0.41,,,,,2.04,0.85,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-09,2.1,0.57,,,,,2.46,0.99,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
