DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,duration_spei_1,duration_spei_3,duration_spei_6,duration_spei_9,duration_spei_12,duration_spei_24,intensity_spei_1,intensity_spei_3,intensity_spei_6,intensity_spei_9,intensity_spei_12,intensity_spei_24,duration_spi_1,duration_spi_3,duration_spi_6,duration_spi_9,duration_spi_12,duration_spi_24,intensity_spi_1,intensity_spi_3,intensity_spi_6,intensity_spi_9,intensity_spi_12,intensity_spi_24
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,0.02,,,,,,-0.21,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-01,-0.49,,,,,,-0.64,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-09,-0.72,,,,,,-0.83,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-16,-1.09,,,,,,-1.43,,,,,,0,,,,,,0,,,,,,1,,,,,,1.43,,,,,
1961-02-23,-1.42,,,,,,-2.62,,,,,,1,,,,,,1.42,,,,,,2,,,,,,4.05,,,,,
1961-03-01,-1.35,,,,,,-2.32,,,,,,2,,,,,,2.77,,,,,,3,,,,,,6.37,,,,,
1961-03-09,-1.3,,,,,,-2.02,,,,,,3,,,,,,4.07,,,,,,4,,,,,,8.39,,,,,
1961-03-16,-1.31,,,,,,-1.18,,,,,,4,,,,,,5.38,,,,,,0,,,,,,0,,,,,
1961-03-23,-1.36,-1.41,,,,,-1.24,-1.69,,,,,5,1,,,,,6.74,1.41,,,,,0,1,,,,,0,1.69,,,,
1961-04-01,-0.63,-1.43,,,,,-0.36,-1.7,,,,,0,2,,,,,0,2.84,,,,,0,2,,,,,0,3.39,,,,
1961-04-09,-0.67,-1.6,,,,,-0.42,-1.93,,,,,0,3,,,,,0,4.44,,,,,0,3,,,,,0,5.32,,,,
1961-04-16,-0.73,-1.77,,,,,-0.65,-2.29,,,,,0,4,,,,,0,6.21,,,,,0,4,,,,,0,7.61,,,,
1961-04-23,-0.89,-2,,,,,-0.78,-2.59,,,,,0,5,,,,,0,8.21,,,,,0,5,,,,,0,10.2,,,,
1961-05-01,-1.31,-1.83,,,,,-1.76,-2.37,,,,,1,6,,,,,1.31,10.04,,,,,1,6,,,,,1.76,12.57,,,,
1961-05-09,-1.35,-1.8,,,,,-1.61,-2.21,,,,,2,7,,,,,2.66,11.84,,,,,2,7,,,,,3.37,14.78,,,,
1961-05-16,-1.53,-1.89,,,,,-1.9,-1.96,,,,,3,8,,,,,4.19,13.73,,,,,3,8,,,,,5.27,16.74,,,,
1961-05-23,-0.1,-1.09,,,,,0.38,-0.9,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-01,0.66,-0.76,,,,,0.87,-0.62,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-09,1.1,-0.63,,,,,1.13,-0.49,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
