DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,duration_spei_1,duration_spei_3,duration_spei_6,duration_spei_9,duration_spei_12,duration_spei_24,intensity_spei_1,intensity_spei_3,intensity_spei_6,intensity_spei_9,intensity_spei_12,intensity_spei_24,duration_spi_1,duration_spi_3,duration_spi_6,duration_spi_9,duration_spi_12,duration_spi_24,intensity_spi_1,intensity_spi_3,intensity_spi_6,intensity_spi_9,intensity_spi_12,intensity_spi_24
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,-0.33,,,,,,-0.38,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-01,-0.66,,,,,,-0.69,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-09,-0.64,,,,,,-0.7,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-16,-1,,,,,,-1.19,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-23,-1.11,,,,,,-1.37,,,,,,0,,,,,,0,,,,,,1,,,,,,1.37,,,,,
1961-03-01,-1.18,,,,,,-1.21,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-03-09,-1.1,,,,,,-0.89,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-03-16,0.1,,,,,,0.43,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-03-23,0.29,-0.66,,,,,0.58,-0.56,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-01,0.99,-0.54,,,,,1.1,-0.46,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-09,1.06,-0.44,,,,,1.16,-0.33,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-16,0.23,-0.49,,,,,0.3,-0.34,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-23,0.05,-0.48,,,,,0.2,-0.29,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-05-01,-0.89,-0.56,,,,,-0.63,-0.26,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-05-09,-1.28,-0.64,,,,,-0.67,-0.15,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-05-16,-1.2,-0.51,,,,,-0.34,0.06,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-05-23,0.93,0.52,,,,,1.32,0.89,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-01,1.42,0.83,,,,,1.73,1.14,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-09,1.85,1.03,,,,,2.03,1.34,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-16,2.09,0.57,,,,,2.28,0.93,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
