DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,duration_spei_1,duration_spei_3,duration_spei_6,duration_spei_9,duration_spei_12,duration_spei_24,intensity_spei_1,intensity_spei_3,intensity_spei_6,intensity_spei_9,intensity_spei_12,intensity_spei_24,duration_spi_1,duration_spi_3,duration_spi_6,duration_spi_9,duration_spi_12,duration_spi_24,intensity_spi_1,intensity_spi_3,intensity_spi_6,intensity_spi_9,intensity_spi_12,intensity_spi_24
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,0.15,,,,,,0.05,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-01,-0.39,,,,,,-0.38,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-09,-0.59,,,,,,-0.55,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-16,-0.93,,,,,,-0.92,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-23,-1.39,,,,,,-1.77,,,,,,1,,,,,,1.39,,,,,,1,,,,,,1.77,,,,,
1961-03-01,-1.39,,,,,,-1.93,,,,,,2,,,,,,2.78,,,,,,2,,,,,,3.7,,,,,
1961-03-09,-1.34,,,,,,-1.68,,,,,,3,,,,,,4.12,,,,,,3,,,,,,5.38,,,,,
1961-03-16,-1.11,,,,,,-0.82,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-03-23,-1.13,-1.22,,,,,-0.94,-1.25,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-01,-0.82,-1.45,,,,,-0.6,-1.56,,,,,0,1,,,,,0,1.45,,,,,0,1,,,,,0,1.56,,,,
1961-04-09,-0.84,-1.69,,,,,-0.62,-1.82,,,,,0,2,,,,,0,3.14,,,,,0,2,,,,,0,3.38,,,,
1961-04-16,-1.03,-1.72,,,,,-1.05,-1.97,,,,,0,3,,,,,0,4.86,,,,,0,3,,,,,0,5.35,,,,
1961-04-23,-0.95,-2.05,,,,,-0.85,-2.34,,,,,0,4,,,,,0,6.91,,,,,0,4,,,,,0,7.69,,,,
1961-05-01,-1.22,-1.89,,,,,-1.33,-2.35,,,,,0,5,,,,,0,8.8,,,,,1,5,,,,,1.33,10.04,,,,
1961-05-09,-1.29,-1.81,,,,,-1.36,-2.22,,,,,1,6,,,,,1.29,10.61,,,,,2,6,,,,,2.69,12.26,,,,
1961-05-16,-1.45,-1.93,,,,,-1.5,-2.11,,,,,2,7,,,,,2.74,12.54,,,,,3,7,,,,,4.19,14.37,,,,
1961-05-23,-0.15,-1.22,,,,,0.18,-1.16,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-01,0.64,-0.78,,,,,0.73,-0.74,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-09,0.98,-0.7,,,,,0.98,-0.65,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
