DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,duration_spei_1,duration_spei_3,duration_spei_6,duration_spei_9,duration_spei_12,duration_spei_24,intensity_spei_1,intensity_spei_3,intensity_spei_6,intensity_spei_9,intensity_spei_12,intensity_spei_24,duration_spi_1,duration_spi_3,duration_spi_6,duration_spi_9,duration_spi_12,duration_spi_24,intensity_spi_1,intensity_spi_3,intensity_spi_6,intensity_spi_9,intensity_spi_12,intensity_spi_24
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,-0.54,,,,,,-0.87,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-01,-0.79,,,,,,-1.15,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-09,-0.82,,,,,,-1.21,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-16,-1.02,,,,,,-1.78,,,,,,0,,,,,,0,,,,,,1,,,,,,1.78,,,,,
1961-02-23,-1.15,,,,,,-1.85,,,,,,0,,,,,,0,,,,,,2,,,,,,3.63,,,,,
1961-03-01,-1.03,,,,,,-1.46,,,,,,0,,,,,,0,,,,,,3,,,,,,5.09,,,,,
1961-03-09,-0.95,,,,,,-1.16,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-03-16,0.03,,,,,,0.21,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-03-23,0.16,-0.96,,,,,0.26,-1.2,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-01,0.95,-0.63,,,,,0.95,-0.76,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-09,0.88,-0.64,,,,,0.92,-0.74,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-16,0.12,-0.73,,,,,0.21,-0.74,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-23,-0.38,-0.83,,,,,0.08,-0.72,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-05-01,-1.54,-0.75,,,,,-1.56,-0.58,,,,,1,0,,,,,1.54,0,,,,,1,0,,,,,1.56,0,,,,
1961-05-09,-1.54,-0.69,,,,,-1.4,-0.43,,,,,2,0,,,,,3.08,0,,,,,2,0,,,,,2.96,0,,,,
1961-05-16,-1.47,-0.7,,,,,-0.98,-0.31,,,,,3,0,,,,,4.55,0,,,,,0,0,,,,,0,0,,,,
1961-05-23,0.39,-0.09,,,,,0.72,0.23,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-01,1.02,0.2,,,,,1.21,0.5,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-09,1.29,0.36,,,,,1.43,0.64,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
