DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,duration_spei_1,duration_spei_3,duration_spei_6,duration_spei_9,duration_spei_12,duration_spei_24,intensity_spei_1,intensity_spei_3,intensity_spei_6,intensity_spei_9,intensity_spei_12,intensity_spei_24,duration_spi_1,duration_spi_3,duration_spi_6,duration_spi_9,duration_spi_12,duration_spi_24,intensity_spi_1,intensity_spi_3,intensity_spi_6,intensity_spi_9,intensity_spi_12,intensity_spi_24
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,-0.33,,,,,,-0.38,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-01,-0.6,,,,,,-0.64,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-09,-0.61,,,,,,-0.72,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-16,-1.04,,,,,,-1.24,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-23,-1.14,,,,,,-1.42,,,,,,0,,,,,,0,,,,,,1,,,,,,1.42,,,,,
1961-03-01,-1.24,,,,,,-1.2,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-03-09,-1.23,,,,,,-0.97,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-03-16,0.24,,,,,,0.6,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-03-23,0.4,-0.64,,,,,0.74,-0.49,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-01,1.26,-0.45,,,,,1.47,-0.3,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-09,1.21,-0.46,,,,,1.39,-0.24,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-16,0.17,-0.5,,,,,0.26,-0.25,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-23,-0.13,-0.58,,,,,0.06,-0.26,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-05-01,-1.15,-0.69,,,,,-1.02,-0.27,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-05-09,-1.56,-0.85,,,,,-0.97,-0.17,,,,,1,0,,,,,1.56,0,,,,,0,0,,,,,0,0,,,,
1961-05-16,-1.63,-0.79,,,,,-0.88,-0.03,,,,,2,0,,,,,3.19,0,,,,,0,0,,,,,0,0,,,,
1961-05-23,0.65,0.31,,,,,1.25,0.94,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-01,1.33,0.68,,,,,1.83,1.24,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-09,1.74,0.81,,,,,2.05,1.36,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-16,2.11,0.2,,,,,2.54,0.72,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
