DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24
2021-01-01,1.71,0.65,-0.11,-0.41,0.07,0.0
2021-01-09,1.92,1.04,0.22,-0.46,0.33,0.19
2021-01-16,1.96,1.04,0.1,-0.7,-0.1,0.15
2021-01-23,2.22,0.94,0.01,-1.05,-0.31,0.16
2021-02-01,-0.47,0.96,0.0,-0.88,-0.34,0.15
2021-02-09,-1.74,0.96,-0.08,-0.99,-0.38,0.12
2021-02-16,-1.48,0.97,-0.09,-1.05,-0.42,0.13
2021-02-23,-1.16,0.68,-0.14,-1.0,-0.35,0.13
2021-03-01,0.97,1.55,0.56,-0.26,0.48,0.54
2021-03-09,1.05,1.54,0.62,-0.25,0.52,0.56
2021-03-16,1.44,1.9,0.45,-0.12,0.25,0.62
2021-03-23,1.27,2.07,0.46,-0.15,-0.28,0.48
2021-04-01,-0.26,0.09,0.53,-0.09,-0.36,0.4
2021-04-09,0.74,0.17,0.92,0.21,-0.41,0.58
2021-04-16,0.63,0.55,1.12,0.32,-0.42,0.26
2021-04-23,1.06,0.88,1.23,0.48,-0.44,0.31
2021-05-01,0.87,0.83,1.14,0.39,-0.32,0.31
2021-05-09,-0.03,0.79,1.1,0.3,-0.44,0.3
2021-05-16,-0.44,0.84,1.13,0.29,-0.46,0.3
2021-05-23,1.89,1.85,1.79,1.22,0.67,0.92
2021-06-01,2.76,1.68,2.01,1.43,0.89,1.08
2021-06-09,2.8,1.63,1.99,1.44,0.82,1.04
2021-06-16,3.17,1.75,2.15,1.4,1.03,1.15
2021-06-23,1.54,1.99,2.45,1.55,1.07,1.15
2021-07-01,0.31,1.99,1.63,1.57,1.09,1.12
2021-07-09,0.92,1.89,1.45,1.74,1.13,1.14
2021-07-16,-0.72,2.04,1.56,1.8,1.17,1.15
2021-07-23,0.56,2.4,1.86,1.94,1.32,1.23
2021-08-01,0.86,2.96,1.9,1.91,1.34,1.23
2021-08-09,1.1,3.1,2.0,1.91,1.38,1.25
2021-08-16,1.26,3.02,2.07,1.97,1.43,1.25
2021-08-23,0.24,1.2,2.13,1.91,1.44,1.25
2021-09-01,0.01,0.2,1.63,1.92,1.4,1.26
2021-09-09,-0.86,0.19,1.53,1.92,1.42,0.65
2021-09-16,-1.5,-0.76,1.47,2.0,1.2,0.61
2021-09-23,-1.39,-0.9,1.62,2.24,1.3,0.63
2021-10-01,-1.36,-0.79,1.57,1.31,1.3,0.65
2021-10-09,-0.97,-1.01,1.1,1.0,1.33,0.72
2021-10-16,-0.32,-0.56,1.15,1.18,1.43,0.54
