DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24
2021-01-01,1.11,0.75,0.38,0.65,0.8,-0.67
2021-01-09,1.1,0.83,0.36,0.57,0.85,-0.63
2021-01-16,1.23,0.77,0.47,0.6,0.85,-0.56
2021-01-23,1.5,0.76,0.42,0.46,0.54,-0.63
2021-02-01,0.36,0.82,0.51,0.64,0.65,-0.54
2021-02-09,0.3,0.8,0.41,0.19,0.67,-0.52
2021-02-16,0.03,0.93,0.41,0.21,0.76,-0.41
2021-02-23,0.23,0.67,0.46,0.28,0.84,-0.32
2021-03-01,0.47,0.9,0.59,0.39,1.0,-0.22
2021-03-09,0.55,0.86,0.56,0.31,1.0,-0.2
2021-03-16,0.13,0.81,0.46,0.24,0.72,-0.22
2021-03-23,-0.29,0.96,0.44,0.18,0.45,-0.21
2021-04-01,-1.58,-0.25,0.4,0.13,0.39,-0.3
2021-04-09,-1.27,-0.3,0.46,0.11,0.31,-0.28
2021-04-16,-1.11,-0.6,0.29,0.1,0.23,-0.35
2021-04-23,-0.82,-0.51,0.36,0.09,0.12,-0.3
2021-05-01,-0.67,-0.94,0.32,0.0,0.12,-0.32
2021-05-09,-0.52,-0.79,0.35,-0.05,-0.27,-0.26
2021-05-16,-0.63,-1.03,0.4,-0.11,-0.31,-0.28
2021-05-23,-0.89,-1.15,0.01,-0.07,-0.26,-0.23
2021-06-01,-0.64,-1.59,0.12,-0.06,-0.29,-0.2
2021-06-09,-0.89,-1.49,0.15,-0.03,-0.31,-0.2
2021-06-16,0.87,-0.94,0.38,0.1,-0.12,-0.09
2021-06-23,0.96,-0.79,0.55,0.16,-0.11,-0.11
2021-07-01,1.18,-0.52,-0.55,0.21,-0.07,-0.11
2021-07-09,1.66,-0.43,-0.52,0.33,-0.05,-0.14
2021-07-16,-0.06,-0.27,-0.74,0.2,-0.03,-0.14
2021-07-23,0.14,-0.34,-0.69,0.28,-0.03,-0.14
2021-08-01,0.27,0.23,-0.85,0.33,0.01,-0.13
2021-08-09,0.36,0.33,-0.69,0.37,-0.01,-0.12
2021-08-16,0.33,0.69,-0.81,0.5,0.0,-0.11
2021-08-23,0.85,1.01,-0.82,0.19,0.06,-0.05
2021-09-01,0.58,1.09,-1.22,0.31,0.08,-0.04
