DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24
2021-01-01,0.44,0.06,-0.19,-0.04,-0.36,-1.42
2021-01-09,0.29,0.17,-0.26,-0.29,-0.36,-1.45
2021-01-16,0.31,0.02,-0.25,-0.34,-0.38,-1.39
2021-01-23,0.59,0.08,-0.23,-0.55,-0.55,-1.39
2021-02-01,-0.25,0.12,-0.17,-0.38,-0.44,-1.38
2021-02-09,0.2,0.18,-0.26,-0.56,-0.28,-1.25
2021-02-16,0.01,0.32,-0.28,-0.56,-0.22,-1.19
2021-02-23,-0.17,-0.1,-0.32,-0.59,-0.22,-1.16
2021-03-01,-0.18,-0.15,-0.31,-0.61,-0.16,-1.15
2021-03-09,-0.52,-0.26,-0.35,-0.7,-0.17,-1.1
2021-03-16,-0.75,-0.35,-0.51,-0.72,-0.36,-1.09
2021-03-23,-1.14,-0.41,-0.57,-0.81,-0.62,-1.1
2021-04-01,-1.99,-1.23,-0.71,-0.88,-0.76,-1.32
2021-04-09,-1.26,-1.11,-0.56,-0.86,-0.91,-1.29
2021-04-16,-0.96,-1.05,-0.65,-0.84,-0.95,-1.34
2021-04-23,0.51,-0.55,-0.35,-0.58,-0.88,-1.15
2021-05-01,0.5,-0.75,-0.45,-0.64,-0.86,-1.14
2021-05-09,0.5,-0.85,-0.45,-0.76,-1.06,-1.08
2021-05-16,0.17,-1.01,-0.43,-0.82,-1.12,-1.08
2021-05-23,-1.05,-0.94,-0.72,-0.78,-1.04,-0.98
2021-06-01,-0.27,-0.79,-0.64,-0.66,-0.93,-0.84
2021-06-09,-0.43,-0.73,-0.68,-0.66,-0.96,-0.82
2021-06-16,0.4,-0.46,-0.64,-0.68,-0.86,-0.75
2021-06-23,0.35,-0.23,-0.59,-0.64,-0.86,-0.75
2021-07-01,-0.6,-0.11,-1.05,-0.69,-0.85,-0.78
2021-07-09,-0.62,-0.1,-1.01,-0.56,-0.84,-0.79
2021-07-16,-1.8,-0.19,-1.03,-0.67,-0.85,-0.79
2021-07-23,-1.84,-1.17,-1.04,-0.63,-0.84,-0.79
2021-08-01,-1.72,-1.04,-1.1,-0.66,-0.83,-0.8
2021-08-09,-1.82,-1.04,-1.2,-0.65,-0.93,-0.8
2021-08-16,-2.12,-0.97,-1.3,-0.6,-0.94,-0.81
2021-08-23,-1.4,-1.04,-1.24,-0.86,-0.92,-0.84
2021-09-01,-1.41,-1.51,-1.3,-0.91,-0.91,-0.87
2021-09-09,1.2,-0.02,-0.7,-0.62,-0.63,-0.79
2021-09-16,1.19,-0.36,-0.65,-0.67,-0.72,-0.79
2021-09-23,0.83,-0.39,-0.49,-0.68,-0.71,-0.75
2021-10-01,0.91,-0.09,-0.22,-1.02,-0.7,-0.67
2021-10-09,-0.76,-0.5,-0.51,-1.08,-0.67,-0.65
2021-10-16,-1.22,-0.84,-0.9,-1.3,-0.91,-0.74
2021-10-23,-0.85,-0.59,-1.25,-1.23,-0.81,-0.65
2021-11-01,-1.18,-0.81,-1.26,-1.39,-0.9,-0.63
2021-11-09,-1.14,-0.91,-1.29,-1.5,-0.95,-0.65
2021-11-16,-0.9,-0.96,-1.23,-1.62,-0.99,-1.04
2021-11-23,-1.28,-0.99,-1.3,-1.59,-1.26,-1.06
2021-12-01,-1.21,-1.06,-1.45,-1.63,-1.35,-1.19
2021-12-09,-1.23,-1.6,-1.51,-1.64,-1.43,-1.22
2021-12-16,-0.72,-1.64,-1.6,-1.73,-1.55,-1.7
2021-12-23,1.04,-0.36,-0.42,-0.56,-0.74,-1.12
2022-01-01,1.04,-0.5,-0.48,-0.49,-1.14,-1.15
2022-01-09,1.0,-0.42,-0.59,-0.63,-1.19,-1.19
2022-01-16,0.92,-0.26,-0.65,-0.76,-1.33,-1.27
2022-01-23,-1.69,-0.44,-0.73,-1.32,-1.42,-1.48
2022-02-01,-1.86,-0.32,-0.83,-1.33,-1.51,-1.51
2022-02-09,-2.05,-0.39,-0.94,-1.32,-1.71,-1.51
2022-02-16,-1.67,-0.41,-1.0,-1.29,-1.76,-1.51
2022-02-23,-1.38,-0.4,-1.03,-1.29,-1.72,-1.45
2022-03-01,-1.15,-0.37,-1.06,-1.43,-1.79,-1.46
2022-03-09,0.47,0.19,-0.99,-0.97,-1.27,-1.06
2022-03-16,1.07,0.4,-0.8,-0.85,-1.03,-1.02
2022-03-23,1.22,-0.59,-0.72,-0.77,-0.85,-1.11
2022-04-01,1.64,-0.44,-0.72,-0.71,-0.73,-1.1
2022-04-09,0.66,-0.31,-0.57,-0.7,-0.75,-1.25
2022-04-16,0.62,0.08,-0.26,-0.57,-0.63,-1.22
2022-04-23,0.42,0.24,-0.33,-0.57,-0.97,-1.43
2022-05-01,0.32,0.4,-0.17,-0.54,-0.84,-1.3
2022-05-09,0.05,0.42,-0.21,-0.63,-0.9,-1.57
2022-05-16,-0.78,0.54,-0.19,-0.67,-0.9,-1.63
2022-05-23,-1.29,0.47,-0.23,-0.73,-0.94,-1.64
2022-06-01,-1.95,0.57,-0.14,-0.73,-1.02,-1.64
2022-06-09,-2.21,-0.43,-0.14,-1.07,-1.06,-1.7
2022-06-16,-2.04,-0.87,-0.18,-1.09,-1.13,-1.67
2022-06-23,-1.87,-1.0,-1.14,-1.06,-1.11,-1.65
2022-07-01,-1.86,-1.17,-1.1,-1.09,-1.08,-1.61
2022-07-09,-1.64,-1.39,-1.08,-0.98,-1.11,-1.64
2022-07-16,-1.69,-1.95,-0.98,-0.82,-1.09,-1.64
2022-07-23,-1.86,-2.12,-0.85,-0.87,-1.08,-1.62
2022-08-01,-2.13,-2.47,-0.75,-0.76,-1.09,-1.63
2022-08-09,-1.7,-2.31,-0.59,-0.71,-1.08,-1.73
2022-08-16,-1.59,-2.21,-0.46,-0.67,-1.07,-1.76
2022-08-23,-1.58,-2.0,-0.52,-0.67,-1.11,-1.78
2022-09-01,-1.58,-2.04,-0.5,-0.61,-1.11,-1.78
2022-09-09,-0.48,-1.53,-1.0,-0.44,-1.29,-1.67
2022-09-16,-0.29,-1.44,-1.36,-0.5,-1.31,-1.74
2022-09-23,-0.49,-1.68,-1.64,-1.5,-1.39,-1.7
2022-10-01,-0.54,-1.79,-1.89,-1.51,-1.46,-1.72
2022-10-09,-1.3,-1.67,-2.22,-1.53,-1.41,-1.56
2022-10-16,-0.31,-0.76,-2.11,-1.22,-1.04,-1.46
2022-10-23,-0.39,-0.9,-1.95,-1.24,-1.16,-1.44
2022-11-01,-0.77,-1.14,-2.15,-1.33,-1.14,-1.63
2022-11-09,-0.38,-1.09,-1.94,-1.22,-1.1,-1.61
2022-11-16,-1.02,-1.01,-1.75,-1.12,-1.08,-1.53
2022-11-23,-0.88,-1.02,-1.75,-1.16,-1.1,-1.79
2022-12-01,0.52,-0.53,-1.17,-0.78,-0.75,-1.62
2022-12-09,2.01,1.22,0.81,0.43,0.44,-0.69
2022-12-16,1.95,1.14,0.78,0.3,0.46,-0.71
2022-12-23,1.82,1.07,0.62,0.15,-0.26,-0.78
2023-01-01,1.62,1.07,0.6,0.15,-0.17,-1.0
2023-01-09,-0.52,1.1,0.56,0.06,-0.18,-1.04
2023-01-16,-0.67,0.84,0.49,-0.17,-0.14,-1.08
2023-01-23,-0.73,0.85,0.42,-0.23,-0.11,-1.13
2023-02-01,-1.18,1.0,0.43,-0.28,-0.06,-1.18
2023-02-09,-1.41,0.9,0.29,-0.3,-0.03,-1.29
2023-02-16,-1.35,0.86,0.17,-0.35,-0.05,-1.35
2023-02-23,-1.27,0.89,0.14,-0.33,-0.09,-1.34
2023-03-01,-0.96,0.62,0.17,-0.3,-0.03,-1.33
2023-03-09,-0.52,-1.19,0.07,-0.23,-0.39,-1.24
2023-03-16,-0.39,-1.31,0.02,-0.28,-0.63,-1.24
2023-03-23,-0.81,-1.47,-0.05,-0.39,-0.79,-1.23
2023-04-01,-2.06,-2.07,-0.16,-0.55,-1.03,-1.29
2023-04-09,-2.06,-2.14,-0.19,-0.66,-1.19,-1.46
2023-04-16,-2.28,-2.03,-0.47,-0.74,-1.43,-1.64
2023-04-23,-2.83,-2.29,-0.52,-0.89,-1.7,-2.16
2023-05-01,-2.31,-2.43,-0.48,-1.01,-1.85,-2.16
2023-05-09,-2.49,-2.48,-0.63,-1.14,-1.83,-2.31
2023-05-16,-1.01,-2.2,-0.43,-0.92,-1.5,-2.0
2023-05-23,0.8,-1.52,-0.05,-0.6,-1.06,-1.66
2023-06-01,2.05,-0.97,-0.01,-0.29,-0.73,-1.43
2023-06-09,2.22,-0.95,-1.48,-0.37,-0.64,-1.39
2023-06-16,1.99,-0.88,-1.56,-0.38,-0.64,-1.45
2023-06-23,1.08,-0.68,-1.57,-0.35,-0.66,-1.45
2023-07-01,-1.45,-0.45,-1.73,-0.33,-0.68,-1.45
2023-07-09,-2.33,-0.16,-1.73,-0.24,-0.68,-1.47
2023-07-16,-2.43,0.07,-1.65,-0.42,-0.68,-1.47
2023-07-23,-2.34,0.45,-1.65,-0.35,-0.69,-1.47
