DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24
2021-01-01,0.36,-0.14,-0.66,-0.23,-0.47,-1.01
2021-01-09,0.23,0.16,-0.64,-0.36,-0.36,-0.95
2021-01-16,0.44,0.13,-0.61,-0.54,-0.41,-0.99
2021-01-23,0.91,0.3,-0.47,-0.56,-0.55,-0.95
2021-02-01,0.28,0.31,-0.4,-0.31,-0.46,-0.96
2021-02-09,0.18,0.44,-0.37,-0.75,-0.33,-0.88
2021-02-16,0.2,0.54,-0.36,-0.9,-0.25,-0.81
2021-02-23,-0.41,0.1,-0.38,-0.91,-0.21,-0.79
2021-03-01,-0.27,0.03,-0.3,-0.88,-0.07,-0.71
2021-03-09,-0.32,-0.15,-0.26,-0.9,-0.01,-0.66
2021-03-16,-0.45,-0.07,-0.46,-0.91,-0.2,-0.65
2021-03-23,-0.88,-0.15,-0.55,-1.0,-0.46,-0.73
2021-04-01,-1.59,-0.77,-0.67,-1.03,-0.69,-0.94
2021-04-09,-0.53,-0.54,-0.28,-0.89,-0.68,-0.8
2021-04-16,-0.32,-0.54,-0.3,-0.89,-0.83,-0.97
2021-04-23,0.78,-0.31,-0.04,-0.69,-0.76,-0.92
2021-05-01,0.71,-0.4,-0.12,-0.71,-0.64,-0.89
2021-05-09,0.13,-0.43,-0.06,-0.72,-0.99,-0.84
2021-05-16,-0.16,-0.53,-0.06,-0.78,-1.17,-0.85
2021-05-23,0.63,0.27,0.07,-0.31,-0.74,-0.5
2021-06-01,0.91,0.19,0.02,-0.25,-0.71,-0.42
2021-06-09,0.81,0.09,-0.13,-0.23,-0.76,-0.43
2021-06-16,1.76,0.51,0.19,-0.15,-0.56,-0.29
2021-06-23,0.32,0.78,0.31,-0.09,-0.53,-0.27
2021-07-01,0.28,0.89,0.0,-0.13,-0.52,-0.3
2021-07-09,0.62,0.62,-0.04,0.01,-0.55,-0.31
2021-07-16,-1.26,0.62,-0.06,-0.01,-0.55,-0.31
2021-07-23,-1.09,0.27,-0.1,0.07,-0.5,-0.3
2021-08-01,-0.78,0.49,-0.09,0.03,-0.47,-0.29
2021-08-09,-0.63,0.66,-0.06,0.12,-0.45,-0.29
2021-08-16,-0.27,1.09,-0.01,0.23,-0.42,-0.27
2021-08-23,0.08,-0.25,0.12,0.01,-0.34,-0.26
2021-09-01,-0.48,-0.5,-0.05,-0.08,-0.35,-0.38
2021-09-09,-0.19,-0.12,-0.04,-0.14,-0.26,-0.66
2021-09-16,-0.3,-0.89,0.0,-0.05,-0.35,-0.67
2021-09-23,-0.91,-1.1,0.11,-0.03,-0.34,-0.65
2021-10-01,-0.65,-0.95,0.23,-0.33,-0.35,-0.61
2021-10-09,-1.09,-1.13,-0.28,-0.52,-0.33,-0.6
2021-10-16,-1.3,-1.24,-0.42,-0.63,-0.41,-0.68
2021-10-23,-1.17,-1.27,-0.82,-0.79,-0.4,-0.71
2021-11-01,-1.31,-1.36,-0.87,-0.89,-0.47,-0.7
2021-11-09,-1.26,-1.49,-0.91,-0.98,-0.48,-0.74
2021-11-16,-0.56,-1.28,-0.62,-0.89,-0.32,-0.87
2021-11-23,-0.88,-1.52,-1.49,-0.97,-0.67,-0.89
2021-12-01,-1.03,-1.53,-1.57,-1.09,-0.76,-0.91
2021-12-09,-0.96,-1.71,-1.57,-1.17,-0.93,-0.97
2021-12-16,-1.27,-1.86,-1.86,-1.19,-0.9,-1.16
2021-12-23,-0.94,-1.77,-1.86,-1.04,-0.91,-1.16
2022-01-01,-0.85,-1.79,-1.94,-1.01,-1.25,-1.18
2022-01-09,-0.74,-1.62,-1.93,-1.31,-1.36,-1.2
2022-01-16,-0.88,-1.56,-2.03,-1.43,-1.43,-1.24
2022-01-23,-1.59,-1.55,-2.14,-1.78,-1.65,-1.43
2022-02-01,-1.88,-1.6,-2.29,-1.84,-1.68,-1.42
2022-02-09,-1.96,-1.65,-2.41,-1.88,-1.81,-1.42
2022-02-16,-1.67,-1.79,-2.36,-1.78,-1.82,-1.39
2022-02-23,-1.12,-1.74,-2.41,-2.2,-1.7,-1.3
2022-03-01,-0.44,-1.42,-2.34,-2.16,-1.75,-1.23
2022-03-09,0.39,-1.04,-2.05,-1.86,-1.61,-1.1
2022-03-16,1.08,-0.63,-1.74,-1.81,-1.41,-1.07
2022-03-23,1.52,-0.18,-1.3,-1.52,-0.97,-0.97
2022-04-01,1.75,0.07,-1.2,-1.41,-0.85,-1.0
2022-04-09,1.28,0.11,-1.09,-1.46,-1.1,-1.12
2022-04-16,1.01,0.4,-0.88,-1.39,-1.06,-1.17
2022-04-23,0.59,0.79,-0.72,-1.32,-1.14,-1.17
2022-05-01,0.5,1.0,-0.5,-1.18,-0.98,-1.02
2022-05-09,0.34,0.99,-0.54,-1.26,-1.03,-1.31
2022-05-16,-0.28,0.86,-0.74,-1.36,-1.06,-1.45
2022-05-23,-1.24,0.66,-0.78,-1.48,-1.45,-1.47
2022-06-01,-2.35,0.38,-0.81,-1.48,-1.49,-1.51
2022-06-09,-2.59,-0.1,-0.86,-1.59,-1.53,-1.59
2022-06-16,-2.33,-0.58,-0.86,-1.61,-1.69,-1.58
2022-06-23,-2.05,-1.09,-0.9,-1.55,-1.7,-1.56
2022-07-01,-2.3,-1.35,-0.89,-1.56,-1.69,-1.54
2022-07-09,-1.66,-1.45,-0.87,-1.48,-1.71,-1.58
2022-07-16,-1.74,-1.68,-0.77,-1.39,-1.7,-1.58
2022-07-23,-2.07,-2.0,-0.67,-1.36,-1.73,-1.57
2022-08-01,-2.56,-2.5,-0.59,-1.31,-1.75,-1.58
2022-08-09,-2.44,-2.7,-0.49,-1.3,-1.77,-1.59
2022-08-16,-2.47,-2.75,-0.43,-1.36,-1.79,-1.58
2022-08-23,-1.96,-2.33,-0.45,-1.29,-1.81,-1.55
2022-09-01,-1.75,-2.36,-0.69,-1.32,-1.84,-1.56
2022-09-09,-1.37,-2.29,-1.0,-1.32,-1.88,-1.56
2022-09-16,-0.86,-1.97,-1.29,-1.29,-1.88,-1.61
2022-09-23,-1.18,-1.98,-1.76,-1.47,-1.94,-1.59
2022-10-01,-0.95,-1.84,-1.95,-1.46,-1.93,-1.58
2022-10-09,-0.76,-1.6,-2.03,-1.41,-1.86,-1.52
2022-10-16,-1.37,-1.83,-2.52,-1.57,-1.97,-1.61
2022-10-23,-1.7,-1.91,-2.7,-1.69,-2.04,-1.63
2022-11-01,-2.18,-2.15,-3.2,-1.73,-2.03,-1.76
2022-11-09,-2.46,-2.11,-2.83,-1.69,-2.07,-1.74
2022-11-16,-1.79,-1.94,-2.71,-1.71,-2.15,-1.71
2022-11-23,-1.71,-2.13,-2.83,-1.89,-2.23,-1.95
2022-12-01,-0.78,-1.91,-2.63,-1.79,-2.11,-1.91
2022-12-09,1.67,-0.67,-1.52,-1.25,-1.51,-1.66
2022-12-16,1.3,-0.82,-1.51,-1.57,-1.57,-1.62
2022-12-23,1.19,-1.0,-1.66,-2.1,-1.83,-1.68
2023-01-01,0.9,-0.99,-1.73,-2.37,-1.84,-1.85
2023-01-09,-1.21,-0.96,-1.68,-2.34,-1.82,-1.95
2023-01-16,-1.25,-0.72,-1.76,-2.49,-1.79,-1.93
2023-01-23,-1.31,-0.58,-1.77,-2.67,-1.81,-2.03
2023-02-01,-1.44,-0.32,-1.79,-2.93,-1.69,-2.02
2023-02-09,-1.55,-0.35,-1.84,-2.82,-1.7,-2.08
2023-02-16,-1.6,-0.49,-1.87,-2.69,-1.72,-2.12
2023-02-23,-1.5,-0.41,-2.01,-2.54,-1.77,-2.09
2023-03-01,-1.34,-0.7,-2.09,-2.53,-1.97,-2.24
2023-03-09,-1.32,-1.89,-2.01,-2.36,-2.17,-2.31
2023-03-16,-1.42,-2.01,-2.08,-2.36,-2.55,-2.36
2023-03-23,-2.26,-2.29,-2.09,-2.43,-2.93,-2.26
2023-04-01,-3.02,-2.59,-2.24,-2.56,-3.31,-2.34
2023-04-09,-2.63,-2.85,-2.41,-2.65,-3.31,-2.51
2023-04-16,-2.66,-2.91,-2.29,-2.74,-3.31,-2.59
2023-04-23,-2.68,-3.32,-2.22,-2.87,-3.35,-2.7
2023-05-01,-2.22,-3.08,-2.13,-2.8,-3.21,-2.88
