DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24
2021-01-01,-0.19,0.47,0.18,0.34,0.3,-0.91
2021-01-09,-0.25,0.54,0.06,0.14,0.27,-0.93
2021-01-16,-0.45,0.31,0.03,0.05,0.19,-0.92
2021-01-23,-0.42,0.31,-0.05,-0.13,-0.03,-1.0
2021-02-01,0.24,0.06,0.23,0.23,0.23,-0.83
2021-02-09,0.37,0.0,0.14,-0.2,0.23,-0.82
2021-02-16,0.38,0.12,0.12,-0.18,0.28,-0.8
2021-02-23,0.65,-0.45,0.17,-0.1,0.34,-0.73
2021-03-01,0.33,-0.05,0.32,0.01,0.56,-0.63
2021-03-09,0.33,-0.05,0.28,-0.04,0.56,-0.59
2021-03-16,-0.03,-0.25,0.04,-0.1,0.19,-0.6
2021-03-23,-0.43,-0.18,0.01,-0.16,0.05,-0.58
2021-04-01,-1.54,-0.56,0.0,-0.21,-0.04,-0.71
2021-04-09,-1.1,-0.41,0.13,-0.21,-0.12,-0.65
2021-04-16,-0.96,-0.44,-0.07,-0.26,-0.24,-0.71
2021-04-23,-0.48,-0.15,0.05,-0.22,-0.27,-0.66
2021-05-01,-0.47,-0.87,-0.45,-0.28,-0.26,-0.68
2021-05-09,-0.3,-0.73,-0.44,-0.28,-0.56,-0.62
2021-05-16,-0.49,-0.93,-0.45,-0.35,-0.59,-0.62
2021-05-23,-1.04,-1.07,-0.94,-0.32,-0.55,-0.57
2021-06-01,-0.89,-1.62,-0.87,-0.33,-0.59,-0.54
2021-06-09,-1.28,-1.46,-0.81,-0.3,-0.58,-0.53
2021-06-16,-0.33,-1.19,-0.84,-0.38,-0.49,-0.51
2021-06-23,-0.27,-1.04,-0.78,-0.35,-0.5,-0.54
2021-07-01,-0.18,-0.93,-1.0,-0.31,-0.49,-0.57
2021-07-09,-0.32,-1.05,-0.93,-0.18,-0.5,-0.6
2021-07-16,-1.03,-0.99,-0.9,-0.33,-0.51,-0.61
2021-07-23,-0.97,-1.3,-0.8,-0.26,-0.51,-0.62
2021-08-01,-0.99,-1.12,-1.29,-0.68,-0.51,-0.63
2021-08-09,-0.95,-1.24,-1.25,-0.7,-0.51,-0.62
2021-08-16,-1.32,-1.13,-1.39,-0.65,-0.52,-0.62
2021-08-23,-0.3,-0.86,-1.36,-1.05,-0.44,-0.59
2021-09-01,-0.01,-0.73,-1.68,-0.97,-0.43,-0.59
2021-09-09,1.41,0.4,-1.2,-0.7,-0.24,-0.44
2021-09-16,1.35,0.17,-1.04,-0.77,-0.36,-0.47
2021-09-23,1.84,1.41,0.08,-0.24,-0.02,-0.22
2021-10-01,1.57,1.21,0.09,-0.44,0.0,-0.2
2021-10-09,0.69,0.79,-0.16,-0.48,0.0,-0.22
2021-10-16,0.22,0.44,-0.37,-0.62,-0.24,-0.28
2021-10-23,-1.29,0.2,-0.64,-0.61,-0.24,-0.27
2021-11-01,-1.4,-0.21,-0.75,-1.15,-0.76,-0.26
2021-11-09,-1.48,-0.38,-0.87,-1.12,-0.84,-0.27
2021-11-16,-0.99,-0.31,-0.65,-1.08,-0.75,-0.3
2021-11-23,-1.04,-0.48,-0.67,-1.15,-1.1,-0.32
2021-12-01,-0.83,-0.64,-0.75,-1.38,-1.06,-0.33
2021-12-09,-0.93,-1.05,-0.86,-1.43,-1.09,-0.34
2021-12-16,-0.45,-0.91,-0.77,-1.29,-1.09,-0.67
2021-12-23,0.31,-1.15,-0.46,-0.9,-0.88,-0.52
2022-01-01,0.36,-1.17,-0.54,-0.88,-1.02,-0.52
2022-01-09,0.33,-1.13,-0.65,-0.99,-1.05,-0.54
2022-01-16,-0.15,-1.04,-0.72,-1.03,-1.1,-0.64
2022-01-23,-1.95,-1.1,-0.84,-1.19,-1.17,-0.84
2022-02-01,-1.6,-0.86,-0.9,-1.18,-1.42,-0.84
2022-02-09,-1.53,-0.87,-0.96,-1.24,-1.39,-0.85
2022-02-16,-1.53,-1.07,-1.02,-1.21,-1.45,-0.86
2022-02-23,-1.22,-1.05,-1.09,-1.19,-1.48,-0.81
2022-03-01,-1.13,-0.99,-1.13,-1.21,-1.66,-0.8
2022-03-09,0.1,-0.45,-1.1,-1.0,-1.43,-0.59
2022-03-16,0.71,-0.46,-0.98,-0.93,-1.27,-0.75
2022-03-23,1.5,-0.32,-1.05,-0.64,-0.93,-0.61
2022-04-01,1.72,-0.35,-1.08,-0.68,-0.93,-0.66
2022-04-09,1.16,-0.13,-0.91,-0.64,-0.91,-0.69
2022-04-16,1.01,0.11,-0.74,-0.6,-0.86,-0.72
2022-04-23,-0.14,0.37,-0.69,-0.6,-0.91,-0.77
2022-05-01,0.15,0.46,-0.45,-0.58,-0.83,-0.72
2022-05-09,-0.18,0.46,-0.46,-0.65,-0.91,-0.96
2022-05-16,-0.6,0.6,-0.53,-0.67,-0.86,-0.95
2022-05-23,-1.0,0.61,-0.54,-0.75,-0.86,-0.93
2022-06-01,-1.32,0.77,-0.42,-0.76,-0.85,-0.94
2022-06-09,-1.62,0.09,-0.39,-0.97,-0.89,-0.98
2022-06-16,-1.38,-0.29,-0.54,-0.97,-0.94,-0.95
2022-06-23,-1.37,-1.15,-0.95,-1.31,-0.95,-0.97
2022-07-01,-0.92,-0.94,-0.86,-1.26,-0.91,-0.93
2022-07-09,-1.03,-1.32,-0.84,-1.19,-0.95,-0.97
2022-07-16,-1.3,-1.65,-0.74,-1.1,-0.95,-0.98
2022-07-23,-1.7,-1.91,-0.62,-1.11,-0.99,-1.01
2022-08-01,-1.93,-1.82,-0.45,-0.87,-0.95,-0.99
2022-08-09,-0.22,-1.49,-0.2,-0.77,-0.91,-0.96
2022-08-16,-0.74,-1.65,-0.07,-0.85,-0.92,-0.98
2022-08-23,0.84,-1.25,0.08,-0.76,-0.92,-0.92
2022-09-01,0.25,-1.27,0.16,-0.66,-0.94,-0.91
2022-09-09,0.98,-0.18,-0.07,-0.41,-0.97,-0.81
2022-09-16,1.05,-0.11,-0.37,-0.56,-0.98,-0.92
2022-09-23,0.38,-0.06,-1.1,-0.98,-1.32,-0.92
2022-10-01,0.22,-0.36,-1.18,-1.01,-1.34,-0.91
2022-10-09,-0.75,-0.34,-1.3,-0.96,-1.27,-0.86
2022-10-16,-0.5,-0.17,-1.34,-0.8,-1.15,-0.94
2022-10-23,-0.63,-0.28,-1.37,-0.76,-1.16,-0.93
2022-11-01,-0.82,-0.67,-1.46,-0.89,-1.08,-1.27
2022-11-09,-0.66,-0.77,-1.3,-0.76,-1.05,-1.3
2022-11-16,-0.96,-0.76,-1.21,-0.68,-1.1,-1.25
2022-11-23,-0.76,-0.82,-1.1,-0.65,-1.04,-1.46
2022-12-01,1.13,0.15,-0.17,0.15,-0.45,-1.07
2022-12-09,1.51,0.35,0.28,0.22,-0.15,-0.91
2022-12-16,1.41,0.21,0.14,0.01,-0.28,-0.99
2022-12-23,1.24,0.12,0.06,-0.46,-0.61,-1.03
2023-01-01,0.23,0.23,0.01,-0.37,-0.52,-1.06
2023-01-09,-0.8,0.25,-0.03,-0.49,-0.53,-1.09
2023-01-16,-0.87,0.07,-0.11,-0.63,-0.53,-1.13
2023-01-23,-1.19,0.03,-0.17,-0.74,-0.52,-1.16
2023-02-01,-0.6,0.39,-0.07,-0.6,-0.35,-1.24
2023-02-09,-0.67,0.32,-0.24,-0.61,-0.36,-1.27
2023-02-16,-0.66,0.3,-0.31,-0.65,-0.36,-1.29
2023-02-23,-0.48,0.23,-0.43,-0.65,-0.41,-1.31
2023-03-01,-1.01,-0.69,-0.42,-0.64,-0.35,-1.41
2023-03-09,-0.85,-1.25,-0.61,-0.63,-0.58,-1.38
2023-03-16,-0.9,-1.35,-0.69,-0.71,-0.76,-1.37
2023-03-23,-1.25,-1.53,-0.76,-0.79,-1.1,-1.37
2023-04-01,-1.8,-2.0,-0.84,-0.96,-1.2,-1.41
2023-04-09,-1.74,-2.03,-0.87,-0.99,-1.31,-1.46
2023-04-16,-2.06,-1.97,-1.03,-1.07,-1.46,-1.51
2023-04-23,-2.32,-2.17,-1.08,-1.14,-1.58,-1.6
2023-05-01,-2.13,-2.66,-1.0,-1.26,-1.68,-1.6
2023-05-09,-2.57,-2.64,-1.17,-1.4,-1.7,-1.69
2023-05-16,-1.18,-2.28,-0.98,-1.23,-1.5,-1.56
2023-05-23,-0.13,-2.07,-0.9,-1.2,-1.35,-1.48
2023-06-01,1.4,-1.63,-1.35,-0.98,-1.14,-1.32
2023-06-09,1.77,-1.52,-1.72,-1.1,-1.1,-1.35
2023-06-16,1.4,-1.47,-1.84,-1.12,-1.11,-1.39
2023-06-23,0.78,-1.4,-1.92,-1.14,-1.14,-1.42
2023-07-01,-1.44,-1.11,-2.03,-1.11,-1.19,-1.43
2023-07-09,-2.17,-1.07,-2.06,-1.09,-1.19,-1.46
2023-07-16,-2.29,-0.75,-1.92,-1.15,-1.17,-1.46
2023-07-23,-1.65,-0.34,-1.94,-1.09,-1.13,-1.46
