DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24
2021-01-01,0.65,0.46,0.05,0.33,-0.27,-0.62
2021-01-09,0.51,0.59,-0.04,0.07,-0.26,-0.59
2021-01-16,0.64,0.62,0.01,-0.05,-0.27,-0.58
2021-01-23,0.83,0.57,0.01,-0.19,-0.44,-0.71
2021-02-01,-0.49,0.46,0.02,0.0,-0.36,-0.74
2021-02-09,0.08,0.63,0.03,-0.43,-0.12,-0.57
2021-02-16,-0.09,0.7,-0.01,-0.51,-0.05,-0.49
2021-02-23,-0.32,0.3,-0.06,-0.51,-0.02,-0.45
2021-03-01,-0.28,-0.06,-0.04,-0.49,0.07,-0.42
2021-03-09,-0.75,-0.19,-0.04,-0.55,0.07,-0.38
2021-03-16,-0.94,-0.21,-0.17,-0.58,-0.08,-0.37
2021-03-23,-1.47,-0.4,-0.31,-0.72,-0.45,-0.44
2021-04-01,-2.25,-1.36,-0.62,-0.84,-0.6,-0.71
2021-04-09,-1.37,-1.32,-0.39,-0.83,-0.79,-0.64
2021-04-16,-1.09,-1.29,-0.35,-0.8,-0.91,-0.82
2021-04-23,0.11,-0.99,-0.17,-0.62,-0.83,-0.74
2021-05-01,0.18,-1.05,-0.37,-0.69,-0.74,-0.74
2021-05-09,0.12,-1.17,-0.3,-0.75,-1.17,-0.65
2021-05-16,-0.26,-1.3,-0.27,-0.84,-1.29,-0.65
2021-05-23,-0.61,-1.05,-0.51,-0.71,-1.08,-0.51
2021-06-01,0.1,-0.8,-0.62,-0.53,-0.89,-0.34
2021-06-09,-0.12,-0.8,-0.69,-0.5,-0.91,-0.33
2021-06-16,0.82,-0.47,-0.51,-0.42,-0.75,-0.22
2021-06-23,0.67,-0.17,-0.46,-0.38,-0.73,-0.2
2021-07-01,0.12,0.04,-0.99,-0.5,-0.71,-0.22
2021-07-09,0.31,-0.03,-0.98,-0.36,-0.74,-0.24
2021-07-16,-1.37,-0.09,-1.02,-0.34,-0.74,-0.25
