DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24
2021-01-01,1.52,0.86,0.64,0.7,1.25,0.07
2021-01-09,1.64,1.1,0.76,0.67,1.37,0.23
2021-01-16,1.75,1.05,0.73,0.63,1.26,0.29
2021-01-23,1.96,1.03,0.58,0.52,0.9,0.3
2021-02-01,0.22,1.0,0.59,0.6,0.91,0.28
2021-02-09,-0.83,0.96,0.5,0.27,0.89,0.25
2021-02-16,-1.12,1.02,0.44,0.2,0.88,0.25
2021-02-23,-0.8,0.82,0.41,0.15,0.96,0.27
2021-03-01,-0.81,0.89,0.32,0.09,1.04,0.34
2021-03-09,-0.66,0.87,0.32,0.05,1.06,0.34
2021-03-16,-0.51,1.02,0.15,0.07,0.81,0.36
2021-03-23,-0.77,1.19,0.17,-0.01,0.16,0.26
2021-04-01,-0.91,-1.08,0.13,-0.07,0.04,0.14
2021-04-09,0.33,-0.96,0.46,0.12,0.04,0.33
2021-04-16,0.51,-0.85,0.49,0.16,0.06,0.29
2021-04-23,1.7,0.1,0.84,0.47,0.41,0.48
2021-05-01,1.8,0.22,0.84,0.51,0.53,0.53
2021-05-09,1.35,0.3,0.83,0.46,0.27,0.52
2021-05-16,1.09,0.3,0.88,0.44,0.24,0.52
2021-05-23,1.33,0.99,1.02,0.75,0.55,0.73
2021-06-01,1.73,1.27,1.19,0.8,0.63,0.78
2021-06-09,1.87,1.37,1.23,0.84,0.63,0.78
2021-06-16,2.65,1.48,1.4,0.73,0.66,0.79
2021-06-23,0.16,1.79,1.65,0.8,0.66,0.77
2021-07-01,-1.5,1.9,0.41,0.79,0.63,0.75
2021-07-09,-1.21,1.7,0.22,0.9,0.62,0.76
2021-07-16,-1.35,1.72,0.2,0.88,0.61,0.75
2021-07-23,-1.56,0.79,0.36,0.92,0.59,0.75
2021-08-01,-1.35,0.63,0.37,0.88,0.58,0.73
2021-08-09,-0.87,1.11,0.62,0.94,0.62,0.76
2021-08-16,-0.29,1.66,0.75,1.06,0.67,0.76
2021-08-23,0.37,-0.57,0.84,0.94,0.69,0.77
2021-09-01,0.8,-0.8,1.01,1.07,0.7,0.78
2021-09-09,0.7,-0.29,1.21,1.17,0.76,0.54
2021-09-16,0.37,-0.42,1.28,1.31,0.63,0.52
2021-09-23,-0.01,-0.47,1.53,1.53,0.67,0.55
2021-10-01,-0.06,-0.2,1.68,0.29,0.69,0.57
2021-10-09,-0.79,-0.58,0.92,-0.09,0.71,0.58
2021-10-16,-1.02,-0.78,0.54,-0.29,0.61,0.54
2021-10-23,-1.29,-0.92,-0.49,-0.32,0.56,0.54
2021-11-01,-1.67,-1.24,-0.98,-0.62,0.32,0.53
2021-11-09,-1.78,-1.38,-0.94,-0.56,0.31,0.54
2021-11-16,-1.56,-1.39,-0.82,-0.54,0.37,0.41
2021-11-23,-1.68,-1.67,-1.79,-0.69,0.06,0.42
2021-12-01,-1.5,-1.88,-2.06,-0.75,0.05,0.33
2021-12-09,-1.41,-2.11,-2.05,-0.75,0.06,0.34
2021-12-16,-1.4,-2.41,-2.38,-0.92,0.11,0.29
2021-12-23,0.07,-1.66,-1.78,-0.34,0.47,0.49
2022-01-01,0.35,-1.64,-1.71,-0.26,-0.83,0.5
2022-01-09,0.33,-1.58,-1.84,-0.66,-1.11,0.53
2022-01-16,0.37,-1.47,-1.92,-0.88,-1.23,0.37
