DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24
2021-01-01,0.76,0.16,-0.26,0.09,0.11,-1.22
2021-01-09,0.66,0.26,-0.37,-0.18,0.1,-1.26
2021-01-16,0.6,0.19,-0.34,-0.26,0.06,-1.25
2021-01-23,0.82,0.21,-0.38,-0.47,-0.32,-1.32
2021-02-01,-0.13,0.16,-0.26,-0.23,-0.16,-1.24
2021-02-09,0.11,0.18,-0.32,-0.7,-0.09,-1.2
2021-02-16,0.09,0.33,-0.3,-0.63,0.0,-1.12
2021-02-23,0.15,0.04,-0.32,-0.61,0.0,-1.09
2021-03-01,0.23,0.27,-0.19,-0.52,0.17,-1.0
2021-03-09,0.12,0.21,-0.23,-0.57,0.18,-0.95
2021-03-16,-0.36,0.09,-0.41,-0.64,-0.15,-0.97
2021-03-23,-0.57,0.18,-0.43,-0.71,-0.36,-0.94
2021-04-01,-1.63,-0.82,-0.45,-0.77,-0.47,-1.09
2021-04-09,-1.04,-0.68,-0.29,-0.75,-0.61,-1.03
2021-04-16,-1.06,-0.8,-0.41,-0.8,-0.75,-1.14
2021-04-23,-0.02,-0.38,-0.19,-0.66,-0.74,-1.05
2021-05-01,-0.15,-0.77,-0.39,-0.72,-0.72,-1.05
2021-05-09,-0.09,-0.71,-0.34,-0.71,-1.01,-0.99
2021-05-16,-0.11,-0.98,-0.34,-0.78,-1.04,-0.99
2021-05-23,-0.9,-0.93,-0.56,-0.75,-0.98,-0.92
2021-06-01,-0.76,-1.29,-0.5,-0.74,-0.99,-0.88
2021-06-09,-1.29,-1.24,-0.49,-0.73,-0.99,-0.88
2021-06-16,-0.07,-0.88,-0.44,-0.71,-0.9,-0.83
2021-06-23,-0.14,-0.68,-0.33,-0.68,-0.91,-0.85
2021-07-01,-0.13,-0.6,-1.05,-0.64,-0.91,-0.9
2021-07-09,-0.19,-0.79,-1.01,-0.51,-0.92,-0.93
2021-07-16,-1.7,-0.61,-1.05,-0.56,-0.91,-0.94
2021-07-23,-1.69,-1.31,-1.0,-0.5,-0.91,-0.95
2021-08-01,-1.73,-1.16,-1.2,-0.61,-0.91,-0.96
2021-08-09,-1.22,-1.26,-1.2,-0.58,-0.91,-0.95
2021-08-16,-1.19,-1.11,-1.37,-0.51,-0.92,-0.94
2021-08-23,-0.51,-1.07,-1.28,-0.7,-0.88,-0.93
2021-09-01,-0.54,-1.07,-1.51,-0.66,-0.87,-0.93
2021-09-09,1.59,0.69,-0.93,-0.36,-0.62,-0.76
2021-09-16,1.27,0.14,-0.82,-0.43,-0.7,-0.77
2021-09-23,1.1,0.41,-0.51,-0.27,-0.63,-0.7
2021-10-01,1.02,0.38,-0.46,-0.92,-0.59,-0.66
2021-10-09,-0.55,-0.04,-0.79,-0.99,-0.57,-0.66
2021-10-16,-1.01,-0.43,-0.92,-1.18,-0.74,-0.73
2021-10-23,-1.13,-0.41,-1.19,-1.13,-0.71,-0.68
2021-11-01,-1.39,-0.77,-1.3,-1.45,-0.92,-0.65
2021-11-09,-1.39,-0.93,-1.4,-1.49,-0.98,-0.66
2021-11-16,-0.92,-0.82,-1.14,-1.51,-0.9,-0.82
2021-11-23,-0.97,-0.88,-1.15,-1.5,-1.09,-0.82
2021-12-01,-0.69,-0.94,-1.15,-1.67,-1.07,-0.81
2021-12-09,-0.77,-1.52,-1.22,-1.73,-1.13,-0.84
2021-12-16,0.18,-1.06,-0.91,-1.43,-0.97,-1.03
2021-12-23,1.5,0.21,0.28,-0.11,-0.08,-0.46
2022-01-01,1.48,0.06,0.13,-0.18,-0.62,-0.48
2022-01-09,1.45,0.12,0.0,-0.34,-0.67,-0.5
2022-01-16,1.06,0.19,-0.1,-0.36,-0.77,-0.6
2022-01-23,-1.89,0.08,-0.23,-0.67,-0.84,-0.92
2022-02-01,-1.74,0.19,-0.33,-0.67,-1.01,-0.94
2022-02-09,-1.86,0.18,-0.45,-0.78,-1.06,-0.94
2022-02-16,-1.63,0.01,-0.57,-0.8,-1.19,-0.95
2022-02-23,-1.43,0.01,-0.66,-0.84,-1.21,-0.93
2022-03-01,-1.26,0.04,-0.72,-0.9,-1.37,-0.91
2022-03-09,0.2,0.51,-0.7,-0.57,-1.04,-0.65
2022-03-16,0.86,0.4,-0.53,-0.53,-0.85,-0.74
2022-03-23,1.46,-0.49,-0.32,-0.27,-0.53,-0.66
2022-04-01,1.87,-0.46,-0.34,-0.3,-0.52,-0.71
2022-04-09,1.34,-0.1,-0.1,-0.19,-0.47,-0.73
2022-04-16,1.37,0.31,0.16,-0.08,-0.3,-0.7
2022-04-23,0.64,0.55,0.19,-0.06,-0.43,-0.79
2022-05-01,0.73,0.72,0.38,-0.04,-0.32,-0.72
2022-05-09,0.11,0.73,0.37,-0.13,-0.41,-1.0
2022-05-16,-0.59,0.85,0.33,-0.19,-0.38,-1.01
2022-05-23,-0.99,0.85,0.32,-0.26,-0.43,-0.99
2022-06-01,-1.54,1.02,0.45,-0.26,-0.43,-0.99
2022-06-09,-1.95,0.32,0.49,-0.55,-0.46,-1.03
2022-06-16,-1.55,-0.03,0.24,-0.53,-0.53,-1.02
2022-06-23,-1.36,-0.6,-0.84,-0.56,-0.52,-1.02
2022-07-01,-1.16,-0.52,-0.75,-0.52,-0.49,-1.0
2022-07-09,-1.63,-1.18,-0.76,-0.46,-0.54,-1.04
2022-07-16,-1.85,-1.76,-0.65,-0.32,-0.54,-1.04
2022-07-23,-2.5,-2.13,-0.51,-0.33,-0.57,-1.06
2022-08-01,-3.51,-2.33,-0.32,-0.14,-0.55,-1.05
2022-08-09,-0.85,-2.05,-0.07,-0.04,-0.52,-1.03
2022-08-16,-1.12,-2.05,0.09,-0.07,-0.53,-1.04
2022-08-23,0.07,-1.81,0.18,-0.02,-0.54,-1.01
2022-09-01,-0.51,-1.8,0.25,0.08,-0.56,-1.0
2022-09-09,-0.3,-1.35,-0.23,0.25,-0.72,-0.95
2022-09-16,-0.28,-1.46,-0.67,-0.08,-0.74,-1.03
2022-09-23,-0.68,-1.56,-1.32,-1.21,-0.83,-1.02
