DATA,mean_spei
2021-01-01,0.32
2021-01-09,0.54
2021-01-16,0.41
2021-01-23,0.33
2021-02-01,-0.1
2021-02-09,-0.35
2021-02-16,-0.32
2021-02-23,-0.31
2021-03-01,0.64
2021-03-09,0.67
2021-03-16,0.76
2021-03-23,0.64
2021-04-01,0.05
2021-04-09,0.37
2021-04-16,0.41
2021-04-23,0.59
2021-05-01,0.54
2021-05-09,0.34
2021-05-16,0.28
2021-05-23,1.39
2021-06-01,1.64
2021-06-09,1.62
2021-06-16,1.78
2021-06-23,1.62
2021-07-01,1.28
2021-07-09,1.38
2021-07-16,1.17
2021-07-23,1.55
2021-08-01,1.7
2021-08-09,1.79
2021-08-16,1.83
2021-08-23,1.36
2021-09-01,1.07
2021-09-09,0.81
2021-09-16,0.5
2021-09-23,0.58
2021-10-01,0.45
2021-10-09,0.36
2021-10-16,0.57
2021-10-23,0.74
2021-11-01,0.52
2021-11-09,0.47
2021-11-16,0.67
2021-11-23,0.16
2021-12-01,-0.13
2021-12-09,-0.08
2021-12-16,-0.48
2021-12-23,-0.44
2022-01-01,-0.62
2022-01-09,-0.48
2022-01-16,-0.53
2022-01-23,-0.69
2022-02-01,-0.7
2022-02-09,-0.79
2022-02-16,-1.08
2022-02-23,-0.85
2022-03-01,-0.85
2022-03-09,-0.72
2022-03-16,-0.17
2022-03-23,1.74
2022-04-01,2.24
2022-04-09,2.08
2022-04-16,1.99
2022-04-23,1.88
2022-05-01,2.06
2022-05-09,2.04
2022-05-16,1.92
2022-05-23,1.64
2022-06-01,1.07
2022-06-09,0.94
2022-06-16,0.82
2022-06-23,0.58
2022-07-01,0.64
2022-07-09,0.71
2022-07-16,0.69
2022-07-23,0.41
2022-08-01,0.02
2022-08-09,-0.05
2022-08-16,-0.21
2022-08-23,-0.49
2022-09-01,-0.1
2022-09-09,-0.15
2022-09-16,-0.22
2022-09-23,-0.57
2022-10-01,-0.68
2022-10-09,-0.73
2022-10-16,-0.9
2022-10-23,-1.07
2022-11-01,-1.3
2022-11-09,-1.43
2022-11-16,-1.25
2022-11-23,-1.34
2022-12-01,-1.08
2022-12-09,0.69
2022-12-16,0.66
2022-12-23,0.22
2023-01-01,-0.13
2023-01-09,-0.65
2023-01-16,-0.86
2023-01-23,-0.69
2023-02-01,-0.82
2023-02-09,-0.66
2023-02-16,-0.58
2023-02-23,-0.64
2023-03-01,-0.77
2023-03-09,-1.27
2023-03-16,-1.38
2023-03-23,-1.91
2023-04-01,-2.47
2023-04-09,-2.64
2023-04-16,-2.54
2023-04-23,-2.53
2023-05-01,-2.5
2023-05-09,-1.69
2023-05-16,0.07
2023-05-23,0.3
2023-06-01,0.56
2023-06-09,0.34
2023-06-16,-0.07
2023-06-23,-0.4
2023-07-01,-0.62
2023-07-09,-0.53
2023-07-16,-0.31
2023-07-23,-0.2
