DATA,mean_spei
2021-01-01,0.5
2021-01-09,0.51
2021-01-16,0.56
2021-01-23,0.51
2021-02-01,0.41
2021-02-09,0.31
2021-02-16,0.32
2021-02-23,0.36
2021-03-01,0.52
2021-03-09,0.51
2021-03-16,0.36
2021-03-23,0.25
2021-04-01,-0.2
2021-04-09,-0.16
2021-04-16,-0.24
2021-04-23,-0.18
2021-05-01,-0.25
2021-05-09,-0.26
2021-05-16,-0.33
2021-05-23,-0.43
2021-06-01,-0.44
2021-06-09,-0.46
2021-06-16,0.03
2021-06-23,0.11
2021-07-01,0.02
2021-07-09,0.14
2021-07-16,-0.17
2021-07-23,-0.13
2021-08-01,-0.02
2021-08-09,0.04
2021-08-16,0.1
2021-08-23,0.21
2021-09-01,0.13
2021-09-09,0.63
2021-09-16,0.46
2021-09-23,0.45
2021-10-01,0.31
2021-10-09,-0.11
2021-10-16,-0.43
2021-10-23,-0.57
2021-11-01,-0.72
2021-11-09,-0.78
2021-11-16,-0.66
2021-11-23,-0.82
2021-12-01,-0.82
2021-12-09,-0.93
2021-12-16,-1.01
2021-12-23,0.75
2022-01-01,0.61
2022-01-09,0.59
2022-01-16,0.52
2022-01-23,-0.15
2022-02-01,-0.21
2022-02-09,-0.24
2022-02-16,-0.28
2022-02-23,-0.32
2022-03-01,-0.25
2022-03-09,0.5
2022-03-16,0.56
2022-03-23,0.66
2022-04-01,0.82
2022-04-09,0.7
2022-04-16,0.75
2022-04-23,0.56
2022-05-01,0.5
2022-05-09,0.38
2022-05-16,0.36
2022-05-23,0.3
2022-06-01,0.3
2022-06-09,-0.04
2022-06-16,0.04
2022-06-23,-0.31
2022-07-01,-0.29
2022-07-09,-0.45
2022-07-16,-0.54
2022-07-23,-0.7
2022-08-01,-0.61
2022-08-09,-0.09
2022-08-16,-0.11
2022-08-23,0.24
2022-09-01,0.27
2022-09-09,0.26
2022-09-16,0.19
2022-09-23,-0.46
2022-10-01,-0.63
2022-10-09,-0.68
2022-10-16,-0.76
2022-10-23,-0.81
2022-11-01,-0.91
2022-11-09,-0.77
2022-11-16,-0.44
2022-11-23,-0.52
2022-12-01,0.24
2022-12-09,0.67
2022-12-16,0.6
2022-12-23,0.24
2023-01-01,0.28
2023-01-09,0.12
2023-01-16,0.04
2023-01-23,-0.01
2023-02-01,-0.24
2023-02-09,-0.35
2023-02-16,-0.41
2023-02-23,-0.37
2023-03-01,-0.31
2023-03-09,-0.52
2023-03-16,-0.6
2023-03-23,-0.78
2023-04-01,-1.18
2023-04-09,-1.18
2023-04-16,-1.21
2023-04-23,-1.38
2023-05-01,-1.35
2023-05-09,-1.39
2023-05-16,-1.0
2023-05-23,-0.87
2023-06-01,-0.66
2023-06-09,-0.72
2023-06-16,-0.96
2023-06-23,-1.11
2023-07-01,-1.41
2023-07-09,-1.43
2023-07-16,-1.35
2023-07-23,-1.01
