DATA,mean_spei
2021-01-01,-0.25
2021-01-09,-0.32
2021-01-16,-0.34
2021-01-23,-0.34
2021-02-01,-0.42
2021-02-09,-0.33
2021-02-16,-0.32
2021-02-23,-0.43
2021-03-01,-0.43
2021-03-09,-0.52
2021-03-16,-0.63
2021-03-23,-0.78
2021-04-01,-1.15
2021-04-09,-1.0
2021-04-16,-0.96
2021-04-23,-0.5
2021-05-01,-0.56
2021-05-09,-0.62
2021-05-16,-0.72
2021-05-23,-0.92
2021-06-01,-0.69
2021-06-09,-0.71
2021-06-16,-0.5
2021-06-23,-0.45
2021-07-01,-0.68
2021-07-09,-0.65
2021-07-16,-0.89
2021-07-23,-1.05
2021-08-01,-1.02
2021-08-09,-1.07
2021-08-16,-1.12
2021-08-23,-1.05
2021-09-01,-1.15
2021-09-09,-0.26
2021-09-16,-0.33
2021-09-23,-0.36
2021-10-01,-0.3
2021-10-09,-0.7
2021-10-16,-0.98
2021-10-23,-0.9
2021-11-01,-1.03
2021-11-09,-1.07
2021-11-16,-1.12
2021-11-23,-1.25
2021-12-01,-1.31
2021-12-09,-1.44
2021-12-16,-1.49
2021-12-23,-0.36
2022-01-01,-0.45
2022-01-09,-0.5
2022-01-16,-0.56
2022-01-23,-1.18
2022-02-01,-1.23
2022-02-09,-1.32
2022-02-16,-1.27
2022-02-23,-1.21
2022-03-01,-1.21
2022-03-09,-0.61
2022-03-16,-0.37
2022-03-23,-0.47
2022-04-01,-0.34
2022-04-09,-0.49
2022-04-16,-0.33
2022-04-23,-0.44
2022-05-01,-0.36
2022-05-09,-0.47
2022-05-16,-0.6
2022-05-23,-0.73
2022-06-01,-0.82
2022-06-09,-1.1
2022-06-16,-1.16
2022-06-23,-1.3
2022-07-01,-1.32
2022-07-09,-1.31
2022-07-16,-1.36
2022-07-23,-1.4
2022-08-01,-1.47
2022-08-09,-1.35
2022-08-16,-1.29
2022-08-23,-1.28
2022-09-01,-1.27
2022-09-09,-1.07
2022-09-16,-1.11
2022-09-23,-1.4
2022-10-01,-1.48
2022-10-09,-1.62
2022-10-16,-1.15
2022-10-23,-1.18
2022-11-01,-1.36
2022-11-09,-1.22
2022-11-16,-1.25
2022-11-23,-1.28
2022-12-01,-0.72
2022-12-09,0.7
2022-12-16,0.65
2022-12-23,0.44
2023-01-01,0.38
2023-01-09,-0.0
2023-01-16,-0.12
2023-01-23,-0.15
2023-02-01,-0.21
2023-02-09,-0.31
2023-02-16,-0.34
2023-02-23,-0.33
2023-03-01,-0.3
2023-03-09,-0.58
2023-03-16,-0.64
2023-03-23,-0.79
2023-04-01,-1.19
2023-04-09,-1.28
2023-04-16,-1.43
2023-04-23,-1.73
2023-05-01,-1.71
2023-05-09,-1.81
2023-05-16,-1.34
2023-05-23,-0.68
2023-06-01,-0.23
2023-06-09,-0.43
2023-06-16,-0.49
2023-06-23,-0.6
2023-07-01,-1.01
2023-07-09,-1.1
2023-07-16,-1.1
2023-07-23,-1.01
