DATA,mean_spei
2021-01-01,-0.36
2021-01-09,-0.32
2021-01-16,-0.33
2021-01-23,-0.22
2021-02-01,-0.26
2021-02-09,-0.28
2021-02-16,-0.26
2021-02-23,-0.43
2021-03-01,-0.37
2021-03-09,-0.38
2021-03-16,-0.46
2021-03-23,-0.63
2021-04-01,-0.95
2021-04-09,-0.62
2021-04-16,-0.64
2021-04-23,-0.32
2021-05-01,-0.34
2021-05-09,-0.49
2021-05-16,-0.59
2021-05-23,-0.1
2021-06-01,-0.04
2021-06-09,-0.11
2021-06-16,0.24
2021-06-23,0.09
2021-07-01,0.04
2021-07-09,0.06
2021-07-16,-0.26
2021-07-23,-0.28
2021-08-01,-0.18
2021-08-09,-0.11
2021-08-16,0.06
2021-08-23,-0.11
2021-09-01,-0.31
2021-09-09,-0.24
2021-09-16,-0.38
2021-09-23,-0.49
2021-10-01,-0.44
2021-10-09,-0.66
2021-10-16,-0.78
2021-10-23,-0.86
2021-11-01,-0.93
2021-11-09,-0.98
2021-11-16,-0.76
2021-11-23,-1.07
2021-12-01,-1.15
2021-12-09,-1.22
2021-12-16,-1.37
2021-12-23,-1.28
2022-01-01,-1.34
2022-01-09,-1.36
2022-01-16,-1.43
2022-01-23,-1.69
2022-02-01,-1.78
2022-02-09,-1.85
2022-02-16,-1.8
2022-02-23,-1.74
2022-03-01,-1.56
2022-03-09,-1.21
2022-03-16,-0.93
2022-03-23,-0.57
2022-04-01,-0.44
2022-04-09,-0.56
2022-04-16,-0.52
2022-04-23,-0.49
2022-05-01,-0.36
2022-05-09,-0.47
2022-05-16,-0.67
2022-05-23,-0.96
2022-06-01,-1.21
2022-06-09,-1.38
2022-06-16,-1.44
2022-06-23,-1.48
2022-07-01,-1.55
2022-07-09,-1.46
2022-07-16,-1.48
2022-07-23,-1.57
2022-08-01,-1.72
2022-08-09,-1.72
2022-08-16,-1.73
2022-08-23,-1.57
2022-09-01,-1.59
2022-09-09,-1.57
2022-09-16,-1.48
2022-09-23,-1.65
2022-10-01,-1.62
2022-10-09,-1.53
2022-10-16,-1.81
2022-10-23,-1.94
2022-11-01,-2.17
2022-11-09,-2.15
2022-11-16,-2.0
2022-11-23,-2.12
2022-12-01,-1.86
2022-12-09,-0.82
2022-12-16,-0.96
2022-12-23,-1.18
2023-01-01,-1.31
2023-01-09,-1.66
2023-01-16,-1.66
2023-01-23,-1.7
2023-02-01,-1.7
2023-02-09,-1.72
2023-02-16,-1.75
2023-02-23,-1.72
2023-03-01,-1.81
2023-03-09,-2.01
2023-03-16,-2.13
2023-03-23,-2.38
2023-04-01,-2.68
2023-04-09,-2.73
2023-04-16,-2.75
2023-04-23,-2.86
2023-05-01,-2.72
2023-05-09,-2.67
2023-05-16,-2.12
2023-05-23,-1.59
2023-06-01,-1.13
2023-06-09,-1.19
2023-06-16,-0.97
2023-06-23,-1.02
2023-07-01,-1.16
2023-07-09,-1.14
2023-07-16,-1.62
2023-07-23,-1.48
