DATA,mean_spei
2021-01-01,0.1
2021-01-09,0.05
2021-01-16,0.06
2021-01-23,0.01
2021-02-01,-0.18
2021-02-09,-0.06
2021-02-16,-0.08
2021-02-23,-0.18
2021-03-01,-0.2
2021-03-09,-0.31
2021-03-16,-0.39
2021-03-23,-0.63
2021-04-01,-1.06
2021-04-09,-0.89
2021-04-16,-0.88
2021-04-23,-0.54
2021-05-01,-0.57
2021-05-09,-0.65
2021-05-16,-0.77
2021-05-23,-0.74
2021-06-01,-0.51
2021-06-09,-0.56
2021-06-16,-0.26
2021-06-23,-0.21
2021-07-01,-0.38
2021-07-09,-0.34
2021-07-16,-0.64
2021-07-23,-0.63
2021-08-01,-0.53
2021-08-09,-0.52
2021-08-16,-0.42
2021-08-23,-0.45
2021-09-01,-0.73
2021-09-09,-0.48
2021-09-16,-0.5
2021-09-23,-0.58
2021-10-01,-0.48
2021-10-09,-0.74
2021-10-16,-0.94
2021-10-23,-1.01
2021-11-01,-0.97
2021-11-09,-1.04
2021-11-16,-0.77
2021-11-23,-0.85
2021-12-01,-0.99
2021-12-09,-1.06
2021-12-16,-1.34
2021-12-23,-1.19
2022-01-01,-1.18
2022-01-09,-1.19
2022-01-16,-1.28
2022-01-23,-1.62
2022-02-01,-1.77
2022-02-09,-1.84
2022-02-16,-1.91
2022-02-23,-1.85
2022-03-01,-1.65
2022-03-09,-1.16
2022-03-16,-0.9
2022-03-23,-0.64
2022-04-01,-0.6
2022-04-09,-0.78
2022-04-16,-0.64
2022-04-23,-0.74
2022-05-01,-0.68
2022-05-09,-0.81
2022-05-16,-1.0
2022-05-23,-1.14
2022-06-01,-1.31
2022-06-09,-1.51
2022-06-16,-1.55
2022-06-23,-1.58
2022-07-01,-1.66
2022-07-09,-1.58
2022-07-16,-1.66
2022-07-23,-1.77
2022-08-01,-1.87
2022-08-09,-1.85
2022-08-16,-1.88
2022-08-23,-1.77
2022-09-01,-1.7
2022-09-09,-1.68
2022-09-16,-1.59
2022-09-23,-1.74
2022-10-01,-1.82
2022-10-09,-1.68
2022-10-16,-1.9
2022-10-23,-2.0
2022-11-01,-2.17
2022-11-09,-2.15
2022-11-16,-1.95
2022-11-23,-2.01
2022-12-01,-1.57
2022-12-09,-0.52
2022-12-16,-0.62
2022-12-23,-0.9
2023-01-01,-1.06
2023-01-09,-1.37
2023-01-16,-1.4
2023-01-23,-1.46
2023-02-01,-1.44
2023-02-09,-1.51
2023-02-16,-1.62
2023-02-23,-1.46
2023-03-01,-1.49
2023-03-09,-1.75
2023-03-16,-1.83
2023-03-23,-2.1
2023-04-01,-2.68
2023-04-09,-2.72
2023-04-16,-2.81
2023-04-23,-3.17
2023-05-01,-2.91
2023-05-09,-2.83
2023-05-16,-2.4
2023-05-23,-1.5
2023-06-01,-1.15
2023-06-09,-1.2
2023-06-16,-1.11
2023-06-23,-1.29
2023-07-01,-1.47
2023-07-09,-1.51
2023-07-16,-2.09
2023-07-23,-1.75
