DATA,mean_spei
2021-01-01,-0.06
2021-01-09,-0.13
2021-01-16,-0.17
2021-01-23,-0.24
2021-02-01,-0.31
2021-02-09,-0.34
2021-02-16,-0.27
2021-02-23,-0.3
2021-03-01,-0.17
2021-03-09,-0.21
2021-03-16,-0.41
2021-03-23,-0.47
2021-04-01,-0.87
2021-04-09,-0.73
2021-04-16,-0.83
2021-04-23,-0.51
2021-05-01,-0.63
2021-05-09,-0.64
2021-05-16,-0.71
2021-05-23,-0.84
2021-06-01,-0.86
2021-06-09,-0.94
2021-06-16,-0.64
2021-06-23,-0.6
2021-07-01,-0.7
2021-07-09,-0.72
2021-07-16,-0.96
2021-07-23,-1.06
2021-08-01,-1.1
2021-08-09,-1.02
2021-08-16,-1.01
2021-08-23,-0.9
2021-09-01,-0.93
2021-09-09,-0.06
2021-09-16,-0.22
2021-09-23,-0.1
2021-10-01,-0.2
2021-10-09,-0.6
2021-10-16,-0.84
2021-10-23,-0.87
2021-11-01,-1.08
2021-11-09,-1.14
2021-11-16,-1.02
2021-11-23,-1.07
2021-12-01,-1.06
2021-12-09,-1.2
2021-12-16,-0.87
2021-12-23,0.22
2022-01-01,0.06
2022-01-09,0.01
2022-01-16,-0.1
2022-01-23,-0.74
2022-02-01,-0.75
2022-02-09,-0.82
2022-02-16,-0.86
2022-02-23,-0.84
2022-03-01,-0.85
2022-03-09,-0.38
2022-03-16,-0.23
2022-03-23,-0.14
2022-04-01,-0.08
2022-04-09,-0.04
2022-04-16,0.13
2022-04-23,0.02
2022-05-01,0.12
2022-05-09,-0.05
2022-05-16,-0.16
2022-05-23,-0.25
2022-06-01,-0.29
2022-06-09,-0.53
2022-06-16,-0.57
2022-06-23,-0.82
2022-07-01,-0.74
2022-07-09,-0.94
2022-07-16,-1.03
2022-07-23,-1.18
2022-08-01,-1.32
2022-08-09,-0.76
2022-08-16,-0.79
2022-08-23,-0.52
2022-09-01,-0.59
2022-09-09,-0.55
2022-09-16,-0.71
2022-09-23,-1.1
2022-10-01,-1.2
2022-10-09,-1.27
2022-10-16,-1.02
2022-10-23,-1.01
2022-11-01,-1.16
2022-11-09,-1.1
2022-11-16,-1.17
2022-11-23,-1.18
2022-12-01,-0.6
2022-12-09,-0.01
2022-12-16,-0.1
2022-12-23,-0.41
2023-01-01,-0.48
2023-01-09,-0.75
2023-01-16,-0.88
2023-01-23,-0.94
2023-02-01,-0.95
2023-02-09,-1.07
2023-02-16,-1.08
2023-02-23,-1.08
2023-03-01,-1.12
2023-03-09,-1.25
2023-03-16,-1.34
2023-03-23,-1.48
2023-04-01,-1.76
2023-04-09,-1.78
2023-04-16,-1.91
2023-04-23,-2.11
2023-05-01,-2.07
2023-05-09,-2.17
2023-05-16,-1.77
2023-05-23,-1.25
2023-06-01,-0.77
2023-06-09,-0.8
2023-06-16,-0.83
2023-06-23,-0.97
2023-07-01,-1.42
2023-07-09,-1.58
2023-07-16,-1.55
2023-07-23,-1.44
